Holes,Strengths
A5om,0.565596
A4om,0.55553
A3om,0.5465105
A2om,0.535424
KQom,0.601412
KJom,0.593361
KTom,0.5872925
K9om,0.567213
K8om,0.5499425
K7om,0.544675
K6om,0.5357005
K5om,0.526952
K4om,0.5156455
K3om,0.505708
K2om,0.4952245
QJom,0.5767775
QTom,0.5694235
Q9om,0.548182
Q8om,0.532022
Q7om,0.514939
Q6om,0.5105195
Q5om,0.5011175
Q4om,0.4902555
Q3om,0.479676
Q2om,0.4693275
JTom,0.55571
J9om,0.533637
J8om,0.5167565
J7om,0.4996795
J6om,0.48232
J5om,0.4778565
J4om,0.4659625
J3om,0.455453
J2om,0.4454165
T9om,0.5230825
T8om,0.5043635
T7om,0.4879305
T6om,0.471017
T5om,0.453222
T4om,0.4462295
T3om,0.4354995
T2om,0.4248235
98om,0.4910485
97om,0.4743575
96om,0.4573305
95om,0.440496
94om,0.4200575
93om,0.4118835
92om,0.402054
87om,0.4647425
86om,0.4486385
85om,0.430847
84om,0.4101845
83om,0.390203
82om,0.3821555
76om,0.441988
75om,0.424454
74om,0.404427
73om,0.3831555
72om,0.3620985
65om,0.420723
64om,0.4011925
63om,0.380537
62om,0.3592795
54om,0.4033315
53om,0.383921
52om,0.3631775
43om,0.37087
42om,0.350341
32om,0.33818
AAor,0.817187
KKor,0.7888925
QQor,0.7659345
JJor,0.743258
TTor,0.719349
99or,0.688451
88or,0.659181
77or,0.6308695
66or,0.600645
55or,0.572754
44or,0.539658
33or,0.5048705
22or,0.470667
AAob,0.8040155
KKob,0.775668
QQob,0.753401
JJob,0.7308495
TTob,0.7080875
99ob,0.6762575
88ob,0.64659
77ob,0.617313
66ob,0.5890485
55ob,0.5604745
44ob,0.527306
33ob,0.493249
22ob,0.4608495
AAom,0.810941
KKom,0.782978
QQom,0.7591445
JJom,0.7368345
TTom,0.7144265
99om,0.6822675
88om,0.653685
77om,0.6242625
66om,0.595252
55om,0.566489
44om,0.533105
33om,0.4987635
22om,0.465575
